"nid"|"category"|"title"|"writer"|"dept_nm"|"regist_dt"|"taxonomy"|"telno"|"cpyrht"|"url"
429931|"행정"|"기자설명회 주요발표자료"|"이희옥"|"대변인-언론담당관"|"20150801000000"|"행정>공보 홍보>기자설명회>기자설명회 발표자료"|"2133-6233"|"CC BY"|"http://opengov.seoul.go.kr/public/429931"
435996|"행정"|"시장동정은 [속속정보→보도자료]에서 확인가능합니다."|"유승운"|"대변인실"|"20150731000000"|"행정>공보 홍보>시장 동정>시장 일정 자료"|"2133-6233"|"CC BY"|"http://opengov.seoul.go.kr/public/435996"
436030|"경제"|"물가변동 추이 및 현황"|"이채영"|"민생경제과"|"20150414000000"|"경제>소비자 지원>물가변동 추이 및 현황>물가변동 추이 및 현황"|"2133-5366"|"CC BY"|"http://opengov.seoul.go.kr/public/436030"
3372502|"행정"|"시청사 에너지 사용 현황"|"이관호"|"총무과"|"20150102000000"|"행정>청사관리>시청사 에너지 사용현황>시청사 에너지 사용현황"|"2133-5651"|"CC BY-ND"|"http://opengov.seoul.go.kr/public/3372502"
3658758|"문화관광"|"서울시 창작공간 현황 "|"이영규"|"문화정책과"|"20150818000000"|"문화관광>문화진흥>창작공간 운영현황>창작공간 운영 현황"|"02-2133-2527"|"CC BY-ND"|"http://opengov.seoul.go.kr/public/3658758"
3682925|"공통업무"|"2014년 12월 강북소방서 업무추진비 집행내역 "|"최지영"|"소방행정과"|"20150101000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"6946-0172"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3682925"
3682929|"공통업무"|"2014년 12월 서북병원 약제부 업무추진비 내역"|"손진혁"|"약제부"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"02-3156-3189"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3682929"
3682930|"문화관광"|"마을예술창작소 운영지원"|"윤민화"|"문화정책과"|"20150102000000"|"문화관광>문화진흥>창작공간 운영현황>마을예술창작소 추진현황"|"2133-2542"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3682930"
3683404|"공통업무"|"중랑물재생센터 업무추진비 집행내역(2014.12월)"|"남경극"|"관리과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"2211-2568"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683404"
3683405|"공통업무"|"'14.12월 업무추진비 집행내역 공표(동물보호과)"|"정남숙"|"동물보호과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"2133-7650"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683405"
3683406|"공통업무"|"2014년 12월 수도자재관리센터 업무추진비 집행내역"|"우미숙"|"수도자재관리센터"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"02-3146-1913"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683406"
3683407|"공통업무"|"2014년 12월 교통방송 라디오국 업무추진비 내역공개 "|"노경래"|"라디오국"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"311-5312"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683407"
3683408|"공통업무"|"2014.12월 도시기반시설본부 방재시설부 업무추진비 사용내역"|"김정화"|"방재시설부"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"3708-8744"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683408"
3683409|"공통업무"|"2014년 12월 도시안전실 하천관리과 업무추진비 집행내역 공표"|"김국헌"|"하천관리과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"02-2133-3868"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683409"
3683412|"공통업무"|"업무추진비 2014.12월분 집행내역(뚝도아리수정수센터 )"|"이문상"|"행정관리과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"0231465511"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683412"
3683413|"공통업무"|"2014년 12월 상수도연구원 수질분석부 업무추진비 집행내역"|"심미숙"|"수질연구과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"3146-1732"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683413"
3683415|"공통업무"|"2014년 12월 강서도로사업소 업무추진비 집행내역"|"이재민"|"관리단속과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"02-2657-7912"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683415"
3683416|"공통업무"|"2014년 12월 푸른도시국 조경과 업무추진비 집행내역"|"박치순"|"조경과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"2133-2105"|"CC BY"|"http://opengov.seoul.go.kr/public/3683416"
3683417|"공통업무"|"2014년 12월 교통방송 기술국 시책추진업무추진비 집행내역"|"홍순우"|"기술국"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"02-311-5511"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683417"
3683421|"공통업무"|"2014년 12월 중부공원녹지사업소 업무추진비 집행내역 공개"|"정도원"|"공원운영과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"3783-5921"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683421"
3683423|"공통업무"|"2014년 12월 마곡사업추진단 마곡조성담당관 업무추진비 사용내역"|"이혜완"|"마곡조성과"|"20150102000000"|"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비"|"2133-1544"|"CC BY-NC-ND"|"http://opengov.seoul.go.kr/public/3683423"
