nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
10119645,공통업무,"1억이상 공사계약서(2016. 9~10월)",김석기,재무과,20161102000000,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>1억원 이상의 공사 계약서",02-2133-3242,"CC BY-ND",https://opengov.seoul.go.kr/public/10119645
10119646,공통업무,"1억이상 물품계약서(2016. 9~10월)",김석기,재무과,20161102000000,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>1억원 이상의 물품구매 계약서",02-2133-3242,"CC BY-ND",https://opengov.seoul.go.kr/public/10119646
10119647,공통업무,"1억이상 용역계약서(2016. 9~10월)",김석기,재무과,20161102000000,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>1억원 이상의 용역계약서",02-2133-3242,"CC BY-ND",https://opengov.seoul.go.kr/public/10119647
10119648,공통업무,"공사, 용역, 물품 수의계약(2016. 9~10월)",김석기,재무과,20161102000000,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>계약금액 1천만원 이상의 수의계약 현황",02-2133-3242,"CC BY-ND",https://opengov.seoul.go.kr/public/10119648
10133369,안전,"도림천고가 정밀점검 용역 결과(2015)",김근섭,교량안전과,20161102142818,"안전>도로시설물 안전관리>교량,터널 등 시설안전관리유지 관련 예산 집행현황>예산집행 현황",02-2133-1974,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/10133369
10133371,안전,"고가차도 철거 재활용에 따른 교통운영개선방안 수립 및 관리기본계획용역",서성만,교량안전과,20161102143431,"안전>도로관리>도로시설물 안전점검 결과>교량, 터널, 지하차도 등 도로시설물 안전점검 및  진단결과 보고서",02-2133-1972,"CC BY-ND",https://opengov.seoul.go.kr/public/10133371
10133372,안전,"보라매고가 정밀점검용역",전재형,교량안전과,20161102143728,"안전>도로관리>도로시설물 안전점검 결과>교량, 터널, 지하차도 등 도로시설물 안전점검 및  진단결과 보고서",2133-1975,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/10133372
10134333,안전,"2015년 원효대교 정밀안전진단",이보람,교량안전과,20161102180053,"안전>도로관리>도로시설물 안전점검 결과>교량, 터널, 지하차도 등 도로시설물 안전점검 및  진단결과 보고서",2133-1956,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/10134333
10134334,안전,"마포대교 하류교 정밀안전진단 및 상류교 정밀점검 용역",유현선,교량안전과,20161102180311,"안전>도로관리>도로관리 추진현황>도로제설작업, 설해대책",2133-1978,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/10134334
10134335,안전,"양평교 정밀점검 용역",유현선,교량안전과,20161102180722,"안전>도로관리>도로시설물 안전점검 결과>교량, 터널, 지하차도 등 도로시설물 안전점검 및  진단결과 보고서",2133-1978,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/10134335
