nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
108051,공통업무,"출연기관 업무추진비 링크",김옥연,정보공개정책과,20200417000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>투자출연기관장 및 임원의 업무추진비",2133-5672,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/108051
20084630,행정,"2020년 3월 유형별 서식민원처리실적(시본청)",배병만,시민봉사담당관,20200401141720,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/20084630
20085463,행정,"2020년 청소년시설 민간위탁 종합성과평가 결과 공개(1차)",김유진,청소년정책과,20200401155352,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 종합성과평가 결과",02-2133-4135,"CC BY",https://opengov.seoul.go.kr/public/20085463
20095411,공통업무,"서울시립대학교 대학원장 업무추진비 공개(2020.3월)",최선미,"서울시립대학교 교무과",20200402095331,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6108,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/20095411
20095412,공통업무,"서울시립대학교 교무처장 업무추진비 공개(2020.3월)",최선미,"서울시립대학교 교무과",20200402095638,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6108,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/20095412
20095428,공통업무,"2020년 3월 서울시립대학교 연구처장 업무추진비 공개",조준형,"서울시립대학교 연구지원과",20200402144009,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6351,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/20095428
20103895,안전,"지점별 항목별 수질현황(2020년 2월)",황동현,물순환정책과,20200403095347,"안전>하천수질관리>한강 수질검사 결과>한강 수질검사 결과",0221333779,"CC BY-NC",https://opengov.seoul.go.kr/public/20103895
20104864,공통업무,"2020년 3월 서울시립대학교 기획처장 업무추진비 공개",김소은,"서울시립대학교 기획과",20200403154248,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6312,"CC BY-ND",https://opengov.seoul.go.kr/public/20104864
20115921,공통업무,"2020년 3월 서울시립대학교 학생처장 업무추진비 공개",김지현,"서울시립대 학생과",20200406123323,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6211,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/20115921
20116036,행정,"2020 1분기 서울시자살예방센터 업무추진비 집행내역(명지병원)",김성주,보건의료정책과,20200406172209,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7547,"CC BY",https://opengov.seoul.go.kr/public/20116036
20116041,행정,"2020년 1분기 서울시지역상생교류사업 업무추진비 집행내역(슬로푸드문화원)",이현,슬로푸드문화원,20200406181530,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",07041625350,"CC BY-ND",https://opengov.seoul.go.kr/public/20116041
20124769,행정,"2020년 1분기 ""여성능력개발원 운영"" 업무추진비 집행 내역(서울시여성능력개발원)",차지연,여성정책담당관,20200407000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5028,"CC BY",https://opengov.seoul.go.kr/public/20124769
20125332,행정,"2020년 1분기 서울시생활속민주주의학습지원센터 업무추진비 집행내역",김미경,서울민주주의담당관,20200407154205,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-6473,"CC BY",https://opengov.seoul.go.kr/public/20125332
20125337,행정,"서울특별시 교통문화교육원 업무추진비(2020년 1분기)",이연진,택시물류과,20200407162418,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-2327,"CC BY-ND",https://opengov.seoul.go.kr/public/20125337
